NAME_DOSE,NAME,DOSE,COST,,,,,,,,,,
Prednisone 1mg,Prednisone,1mg,$0.10,,,,,,,,,,
Prednisone 20mg,Prednisone,20mg,$0.04,,,,,,,,,,
Prednisone 5mg,Prednisone,5mg,$0.11,,,,,,,,,,
Methotrexate 2.5mg,Methotrexate,2.5mg,$1.52,,,,,,,,,,
Hydroxychloroquine 200mg,Hydroxychloroquine,200mg,$0.11,,,,,,,,,,
Azathioprine 50mg,Azathioprine,50mg,$0.12,,,,,,,,,,
Sulfasalazine 500mg,Sulfasalazine,500mg,$0.17,,,,,,,,,,
Levothyroxine 175mcg,Levothyroxine,175mcg,$0.20,,,,,,,,,,
Levothyroxine 75mcg,Levothyroxine,75mcg,$0.12,,,,,,,,,,
Levothyroxine 200mcg,Levothyroxine,200mcg,$0.66,,,,,,,,,,
Methimazole 10mg,Methimazole,10mg,$0.18,,,,,,,,,,
Propylthiouracil 50mg,Propylthiouracil,50mg,$0.35,,,,,,,,,,
Alendronate 70mg,Alendronate,70mg,$0.56,,,,,,,,,,
Nicotine Patches 70mg,Nicotine Patches,70mg,$0.60,,,,,,,,,,
Buproprion 70mg,Buproprion,70mg,$0.60,,,,,,,,,,
Topiramate 25mg,Topiramate,25mg,$0.04,,,,,,,,,,
Hepatitis A 25mg,Hepatitis A,25mg,$0.03,,,,,,,,,,
Hepatitis B 25mg,Hepatitis B,25mg,$0.03,,,,,,,,,,
Pneumovax 25mg,Pneumovax,25mg,$0.03,,,,,,,,,,
Tetanus toxoid 25mg,Tetanus toxoid,25mg,$0.03,,,,,,,,,,
Diptheria and Tetanus 25mg,Diptheria and Tetanus,25mg,$0.03,,,,,,,,,,
Diptheria, Pertussis and Tetanus 25mg,Diptheria, Pertussis and Tetanus,25mg,$0.03,,,,,,,,
MMR 25mg,MMR,25mg,$0.03,,,,,,,,,,
Polio 25mg,Polio,25mg,$0.03,,,,,,,,,,
Meningococcal 25mg,Meningococcal,25mg,$0.03,,,,,,,,,,
Zoster Vax 25mg,Zoster Vax,25mg,$0.03,,,,,,,,,,
Gardasil  NOT AVAILABLE IN WHC 25mg,Gardasil  NOT AVAILABLE IN WHC,25mg,$0.03,,,,,,,,,,
Meningococcal 25mg,Meningococcal,25mg,$0.03,,,,,,,,,,
Zoster Vax 25mg,Zoster Vax,25mg,$0.03,,,,,,,,,,
Gardasil 25mg,Gardasil,25mg,$0.03,,,,,,,,,,
Ethinyl estradiolåÊw/ Norgestimate 28-day pack,Ethinyl estradiolåÊw/ Norgestimate,28-day pack,$10.08,,,,,,,,,,
Ethinyl estradiolåÊw/ Norethidrone 28-day pack,Ethinyl estradiolåÊw/ Norethidrone,28-day pack,$16.52,,,,,,,,,,
Ethinyl estradiol w/ Desogestrel 28-day pack,Ethinyl estradiol w/ Desogestrel,28-day pack,$17.64,,,,,,,,,,
Ethinyl estradiol w/ Levonorgestrel triphasic 28-day pack,Ethinyl estradiol w/ Levonorgestrel triphasic,28-day pack,$17.64,,,,,,,,,,
Ethinyl estradiol w/ Levonorgestrel 28-day pack,Ethinyl estradiol w/ Levonorgestrel,28-day pack,$19.04,,,,,,,,,,
Medroxyprogesterone IM injection (Depo Provera)- PATIENT MUST PAY 1 injection,Medroxyprogesterone IM injection (Depo Provera)- PATIENT MUST PAY,1 injection,$45,,,,,,,,,,
,,,,,,,,,,,,,
Medroxyprogesterone 2.5mg tab 1 tab,Medroxyprogesterone 2.5mg tab,1 tab,$0.04,,,,,,,,,,
Condoms 5mg,Condoms,5mg,$0.23,,,,,,,,,,
Conjugated Estrogens Vaginal Cream - DO NOT PRESCRIBE. See TS for PDAP. ,Conjugated Estrogens Vaginal Cream - DO NOT PRESCRIBE. See TS for PDAP.,,$45,,,,,,,,,,
